time,close,high,low,open,volumefrom,volumeto
1517529600,131.17,142,102.51,141.36,2110261.36,264489437.71
1517616000,161,166.33,120.41,131.17,1506854.19,220733569.6
1517702400,147.55,174.66,136.96,161,2240983.28,348903981.9
1517788800,125.04,153.9,114.72,147.55,2460919.58,328173135.99
1517875200,141.85,147.26,105.5,125.02,3195103.97,397024992.7
1517961600,137.84,159.11,130.74,141.85,1732911.13,252715544.76
1518048000,149.48,151.14,136.97,137.84,935682.3,135986158.94
1518134400,163.9,164.24,142.14,149.54,970773.63,148089557.46
1518220800,154.91,169.32,147.97,163.92,1107595.53,176947228.51
1518307200,149.06,155.86,141.8,154.91,622934.4,93014379.99
1518393600,161.4,163.3,149.03,149.06,654870.23,103639383.04
1518480000,159.05,162.19,153,161.4,411840.59,64925748.94
1518566400,212.01,217.42,159.05,159.05,3012197.74,583527603.98
1518652800,221.08,237.15,206.77,212.01,2256362.19,503035315.29
1518739200,228.39,234.83,210.25,221.08,1279720.76,285095066
1518825600,229.41,232.71,224.11,228.39,596952.88,136508884.87
1518912000,214.22,231.97,211.9,229.43,998902.69,221587127.59
1518998400,221.97,226.21,213.51,214.16,562650.83,124644378.78
1519084800,229.38,252.2,221.39,221.97,1875180.98,448688720.76
1519171200,210.26,231.7,204.81,229.43,1495364.41,324317151
1519257600,192.91,221.44,188.81,210.26,1334620.63,269393148.66
1519344000,206.6,215.84,182.37,192.91,1272166.15,253168167.29
1519430400,206.35,218.45,194.86,206.6,1005421.79,206867570.89
1519516800,218.31,223.1,200.06,206.38,959496.53,202904391.4
1519603200,218.62,231.6,214.74,218.52,1268149.53,283282159.15
1519689600,215.15,223.21,212.13,218.62,670062.75,145775086.01
1519776000,202.14,223.61,201.59,215.15,723860.2,153831817.48
1519862400,209.32,214.68,200.47,202.14,535731.03,111779752.45
1519948800,212.59,213.42,204.5,209.31,404886.1,84393296.12
1520035200,210.29,217.99,209.03,212.61,526099.47,112747585.28
1520121600,213.36,214.65,205.18,210.29,323683.59,67818928.88
1520208000,210.8,215.97,209.19,213.36,328666.09,69862750.33
1520294400,196.58,210.81,191.7,210.8,677083.14,136364561.14
1520380800,186.04,199.47,174.32,196.58,1057758.38,196927717.88
1520467200,175.82,188.18,174.69,186.05,687998.65,124496969.68
1520553600,186.38,189.98,158.82,175.82,1433662.06,248799371.6
1520640000,177.3,194.73,175.55,186.38,675927.93,125536991.93
1520726400,188.39,193.19,171.6,177.3,709486.34,130493862.2
1520812800,177.85,193.04,174.64,188.38,672197.12,123163748.35
1520899200,175.47,181.94,171.33,177.85,555859.73,97844283.82
1520985600,160.77,178.04,157.79,175.47,706506.68,116916175.42
1521072000,164.28,167.81,150.3,160.77,950156.53,152065919.9
